"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
49881,y,16," ",2,107796.01,920.44904,920.45652880889,-8.1359723784808,20.698115282362%,0.73211679800849%,1.9000000000102E-5
49881,M,+3H," -NH3",3,73974.06,920.77789,920.77925923452,-1.4870388337333,14.203898843606%,0.50240868788082%,
49881,b,9," ",1,118810.73,938.45441,938.45126918688,3.3468047027704,22.813072453439%,0.8069253325485%,1.8999999999991E-5
49881,b,18," -NH3",2,26214.85,955.93506,955.93544427632,-0.40198982200822,5.0335628137798%,0.17804306525142%,1.8999999999991E-5
49881,y,8," ",1,76920.05,963.55371,963.55094915091,2.8652860478892,14.769563942349%,0.52241693091102%,2.000000000002E-5
49881,y,17," ",2,44600.33,963.9696,963.97254330889,-3.0533119582592,8.5637935204782%,0.30291149727826%,2.000000000002E-5
49881,b,18," ",2,119486.98,964.44232,964.44871882688,-6.6346989259367,22.942920491967%,0.81151821112215%,1.9999999999909E-5
49881,y,18," ",2,43540.86,999.48132,999.49110030889,-9.7852886242955,8.3603626866449%,0.29571590827653%,1.9999999999909E-5
49881,b,10," -NH3",1,27441.81,1018.46429,1018.4774840858,-12.954715214878,5.2691537185531%,0.18637619396819%,2.0999999999938E-5
49881,b,19," ",2,13935.42,1045.97913,1045.9803838269,-1.1987097446802,2.6757662891988%,0.094645015797%,2.1999999999966E-5
49881,y,19," -NH3",2,31430.93,1070.979,1070.9931526183,-13.214480689452,6.0351121768966%,0.21346904982874%,2.2000000000078E-5
49881,y,19," ",2,96792.31,1079.51477,1079.5064271689,7.7283755762341,18.58527408228%,0.65738310786313%,2.2000000000078E-5
49881,b,20," -NH3",2,46209.93,1094.97205,1094.9805792763,-7.7894315939672,8.8728558536619%,0.31384339724445%,2.2999999999995E-5
49881,b,20," ",2,268626.81,1103.49744,1103.4938538269,3.2498351565657,51.57954066494%,1.8244293086213%,2.2999999999995E-5
49881,y,20," -H2O",2,26614.24,1139.02576,1139.0305998269,-4.2490753798774,5.1102504412961%,0.18075559726403%,2.4000000000024E-5
49881,y,20," -NH3",2,62922.57,1139.53418,1139.5226076183,10.155464743758,12.081881395448%,0.42735042299678%,2.4000000000024E-5
49881,y,20," ",2,198428.72,1148.04419,1148.0358821689,7.2365604902754,38.10067294598%,1.3476658284414%,2.4000000000024E-5
49881,b,11," -H2O",1,215953.67,1148.5354,1148.5339485028,1.2637825402811,41.465671663629%,1.4666898097488%,2.4000000000024E-5
